schedule,category,product,charge_name,condition,amount,vat_note,source_file
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Global lounge access fee,Debit Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Global lounge access fee,Prepaid Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Global lounge access fee,Prepaid Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Global lounge access fee,Prepaid Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Global lounge access fee,Prepaid Cards; Per person,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Classic,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Gold,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Platinum,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Women Platinum,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Army/Air Force/Navy Platinum,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Corporate Platinum,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Light / Women Signature,Global lounge free visits,Credit Cards; Annual,6,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Signature Acci,Global lounge free visits,Credit Cards; Annual,10,,SOC-Cards_fees.pdf
Cards,Credit Cards,Visa Infinite,Global lounge free visits,Credit Cards; Annual,13,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard Titanium,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Mastercard World,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,Diners Club,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,UnionPay Platinum,Global lounge free visits,Credit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Credit Cards,FX Credit,Global lounge free visits,Credit Cards; Annual,Depends on card type,,SOC-Cards_fees.pdf
Cards,Debit Cards,Classic Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Platinum Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature (Regular) / World Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,Signature Priority Debit,Global lounge free visits,Debit Cards; Annual,12,,SOC-Cards_fees.pdf
Cards,Debit Cards,Global / Mastercard World RFCD Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,UnionPay Classic Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Debit Cards,TakaPay Debit,Global lounge free visits,Debit Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Payroll Prepaid Card,Global lounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,UnionPay / Mastercard / Visa Prepaid Card,Global lounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Diners Club / FX / ACCA Prepaid Card,Global lounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
Cards,Prepaid Cards,Mastercard Women Prepaid Card,Global lounge free visits,Prepaid Cards; Annual,Not applicable,,SOC-Cards_fees.pdf
